Team ID,College Name
2222,"The National Institute of Engineering, Mysuru"
2224,"Vishwakarma Institute of Technology, Pune"
2236,Karmavir Dadasaheb Kannamwar College of Engineering
2239,Progressive Education Society's Modern College of Engineering
2245,"R.V.R. and J.C.College of Engineering,"
2248,Indian Institute of Technology Kharagpur
2253,"Indian Institute of Technology, Kharagpur"
2258,"Fergusson College (Autonomous), Pune"
2264,Jaipur Engineering College and Research Centre
2270,"National Institute of Technology Karnataka, Surathkal"
2278,Dhirajlal Gandhi College of Technology
2319,R.R. Institute Of Modern Technology
2329,Thiagarajar College of Engineering
2346,Indian Institute of Technology Kharagpur
2347,"R.V.R. and J.C.College of Engineering,"
2350,PES University
2352,"R.V.R. and J.C.College of Engineering,"
2361,"National Institute of Technology, Puducherry"
2362,"Rajasthan Technical University, Kota"
2376,Indian Institute of Technology Kharagpur
2394,"R.V.R. and J.C.College of Engineering,"
2400,Maulana Azad National Institute of Technology
2407,"National Institute of Technology, Rourkela"
2427,Dr B R Ambedkar National Institute of Technology Jalandhar
2432,"National Institute of Technology, Agartala"
2436,"Birla Institute of Technology & Science, Pilani"
2439,Manipal Institute of Technology
2447,"R.V.R. and J.C.College of Engineering,"
2451,"National Institute of Technology Karnataka, Surathkal"
2453,"R.V.R. and J.C.College of Engineering,"
2455,"R.V.R. and J.C.College of Engineering,"
2457,CMR Institute of Technology
2463,"Government College of Engineering, Nagpur"
2464,"R.V.R. and J.C.College of Engineering,"
2469,CMR Institute of Technology
2477,Thiagarajar College of Engineering
2483,K. J. Somaiya Institute of Engineering and Information Technology
2484,"R.V.R. and J.C.College of Engineering,"
2486,"Madras Institute of Technology Campus, Anna University"
2491,"R.V.R. and J.C.College of Engineering,"
2502,Jaipur Engineering College and Research Centre
2503,"R.V.R. and J.C.College of Engineering,"
2509,Manipal Institute of Technology
2517,"National Institute of Technology, Rourkela"
2539,Jawaharlal Nehru University
2551,"D Y Patil College of Engineering, Akurdi"
2558,"R.V.R. and J.C.College of Engineering,"
2566,"National Institute of Technology, Rourkela"
2567,Matrusri Engineering College
2584,"Vishwakarma Institute of Technology, Pune"
2586,Shri Govindram Seksaria Institute of Technology and Science
2608,"Miranda House, University College For Women"
2612,Manipal Institute of Technology
2615,CMR Institute of Technology
2616,"Vishwakarma Institute of Technology, Pune"
2618,CMR Institute of Technology
2620,CMR Institute of Technology
2624,Sri Lanka Technological Campus
2636,CMR Institute of Technology
2643,CMR Institute of Technology
2647,"Vishwakarma Institute of Technology, Pune"
2677,CMR Institute of Technology
2682,Knowledge Institute of Technology
2684,Sri Ramakrishna Engineering College
2689,MES College Marampally
2691,Sri Vasavi Institute of Engineering and Technology
2717,Dr. Vishwanath Karad MIT World Peace University
2748,Matrusri Engineering College
2753,Thiagarajar College of Engineering
2766,College of Science and Technology
2774,Sri Vasavi Institute of Engineering and Technology
2779,Jawaharlal Nehru University
2783,"Indian Institute of Technology, Kharagpur"
2789,CMR Institute of Technology
2811,"Motilal Nehru National Institute of Technology, Allahabad"
2824,"R.V.R. and J.C.College of Engineering,"
2829,"R.V.R. and J.C.College of Engineering,"
2851,"Amrita Vishwa Vidyapeetham, Amritapuri"
2853,"R.V.R. and J.C.College of Engineering,"
2857,"Indian Institute of Technology, Bombay"
2878,REVA University
2879,VVP Engineering College
2880,"Amrita Vishwa Vidyapeetham, Amritapuri"
